ngram,count
G151 G151 G151 G151,84
G151 G119 G151 G151,28
G151 G151 G119 G151,25
G151 G151 G151 G119,24
G154 G151 G151 G151,23
G119 G151 G151 G151,23
G151 G154 G151 G151,22
G151 G151 G151 G111,20
G151 G151 G151 G154,19
G151 G151 G154 G151,18
G151 G151 G133 G151,14
G154 G151 G119 G151,13
G119 G151 G119 G151,13
G133 G151 G151 G151,12
G151 G151 G154 G154,12
G151 G154 G154 G151,12
G151 G133 G151 G151,12
G119 G119 G151 G151,12
G151 G119 G151 G154,11
G151 G119 G119 G151,11
G154 G119 G119 G151,11
G151 G119 G154 G151,10
G119 G151 G151 G154,10
G151 G154 G151 G119,10
G151 G151 G033 G151,10
G151 G151 G151 G133,10
G154 G151 G151 G119,10
G154 G151 G154 G151,10
G119 G151 G154 G151,9
G154 G151 G151 G154,9
